"q","p","s","t","d","trade_seq","trade_id","tick_direction","iv","instrument_name","index_price","direction"
"0.6","0.0165","TRADE","1641005912220","2022-01-01","234","197400889","3","61.54","BTC-2JAN22-47000-P","46786","sell"
"2.2","0.002","TRADE","1641005884034","2022-01-01","261","197400878","3","74.66","BTC-7JAN22-40000-P","46782.92","sell"
"0.1","0.0515","TRADE","1641005858406","2022-01-01","18","197400852","3","69.22","BTC-14JAN22-47000-C","46810.09","sell"
"1.3","0.087","TRADE","1641005850008","2022-01-01","546","197400845","3","69.55","BTC-28JAN22-48000-P","46818.24","buy"
"2","0.0185","TRADE","1641005837273","2022-01-01","176","197400819","2","68.6","BTC-7JAN22-45000-P","46836.04","sell"
"0.1","0.027","TRADE","1641005716795","2022-01-01","611","197400798","0","71.72","BTC-7JAN22-48000-C","46816.89","buy"
"0.1","0.012","TRADE","1641032382876","2022-01-01","88","197419114","2","57.45","BTC-2JAN22-47000-C","47052.71","buy"
"2.4","0.0105","TRADE","1641032345293","2022-01-01","429","197419074","1","68.44","BTC-7JAN22-44000-P","47048.32","buy"
"0.1","5.0E-4","TRADE","1641032310088","2022-01-01","305","197419068","3","68.04","BTC-2JAN22-50000-C","47040.29","sell"
"0.1","0.0105","TRADE","1641032227461","2022-01-01","428","197419037","0","68.6","BTC-7JAN22-44000-P","47040.65","buy"
"0.1","0.004","TRADE","1641032122402","2022-01-01","299","197418995","2","55.47","BTC-2JAN22-48000-C","47073.88","sell"
"0.1","0.059","TRADE","1641032120229","2022-01-01","445","197418992","2","66.99","BTC-28JAN22-46000-P","47073.29","sell"
"2","0.0015","TRADE","1641032116680","2022-01-01","28","197418972","2","96.88","BTC-21JAN22-30000-P","47082.35","buy"
"1","0.0075","TRADE","1641032114711","2022-01-01","56","197418971","0","73.56","BTC-21JAN22-38000-P","47086.2","buy"
"5","0.0075","TRADE","1641032114490","2022-01-01","59","197418965","1","58.66","BTC-3JAN22-46000-P","47086.2","buy"
"0.1","0.0395","TRADE","1641032088720","2022-01-01","719","197418916","2","70.49","BTC-25FEB22-40000-P","47147.01","sell"
"0.2","0.003","TRADE","1641032026684","2022-01-01","373","197418858","3","57.19","BTC-2JAN22-46000-P","47143.03","sell"
"0.1","0.0015","TRADE","1641031975194","2022-01-01","411","197418823","1","59.95","BTC-2JAN22-49000-C","47175.35","sell"
"2","0.01","TRADE","1641031966509","2022-01-01","427","197418819","1","68.78","BTC-7JAN22-44000-P","47172.9","sell"
"15.9","0.01","TRADE","1641031966496","2022-01-01","426","197418818","1","68.78","BTC-7JAN22-44000-P","47172.9","sell"
"8.2","0.01","TRADE","1641031966473","2022-01-01","425","197418817","1","68.78","BTC-7JAN22-44000-P","47172.9","buy"
"8.8","0.01","TRADE","1641031966473","2022-01-01","424","197418816","1","68.78","BTC-7JAN22-44000-P","47172.9","buy"
"12","0.01","TRADE","1641031966473","2022-01-01","423","197418815","1","68.78","BTC-7JAN22-44000-P","47172.9","buy"
"3.1","0.01","TRADE","1641031966473","2022-01-01","422","197418814","0","68.78","BTC-7JAN22-44000-P","47172.9","buy"
"10","5.0E-4","TRADE","1641031678074","2022-01-01","82","197418729","3","96.2","BTC-7JAN22-36000-P","47183.6","sell"
"0.1","0.0245","TRADE","1641031620917","2022-01-01","301","197418718","2","84.85","BTC-24JUN22-120000-C","47163.06","buy"
"10","5.0E-4","TRADE","1641031613127","2022-01-01","81","197418704","2","96.19","BTC-7JAN22-36000-P","47150.44","sell"
"2","0.01","TRADE","1641031592978","2022-01-01","61","197418683","0","58.83","BTC-3JAN22-48000-C","47184.02","buy"
"0.1","0.04","TRADE","1641031437503","2022-01-01","718","197418623","2","71.41","BTC-25FEB22-40000-P","47276.26","sell"
"0.1","0.024","TRADE","1641031425625","2022-01-01","314","197418620","2","74.1","BTC-25FEB22-65000-C","47269.41","sell"
"1","0.0395","TRADE","1641031419681","2022-01-01","344","197418612","0","69.06","BTC-28JAN22-52000-C","47285.27","sell"
"0.3","0.0075","TRADE","1641031310646","2022-01-01","743","197418534","0","72.21","BTC-7JAN22-52000-C","47237.68","buy"
"0.1","0.06","TRADE","1641031305855","2022-01-01","2651","197418525","2","73.21","BTC-25MAR22-40000-P","47229.82","sell"
"0.3","0.02","TRADE","1641031284263","2022-01-01","320","197418502","0","68.68","BTC-7JAN22-49000-C","47202.27","buy"
"1","0.003","TRADE","1641031250378","2022-01-01","30","197418450","3","75.85","BTC-21JAN22-65000-C","47182.11","buy"
"5","0.005","TRADE","1641031250356","2022-01-01","34","197418449","0","61.27","BTC-3JAN22-49000-C","47182.11","buy"
"0.8","0.0015","TRADE","1641031218024","2022-01-01","410","197418420","1","60.07","BTC-2JAN22-49000-C","47165.65","sell"
"0.1","0.033","TRADE","1641032976955","2022-01-01","1216","197420144","0","75.51","BTC-25MAR22-35000-P","46899.16","buy"
"1.2","0.0175","TRADE","1641032958263","2022-01-01","8","197420119","0","57.08","BTC-3JAN22-47000-P","46884.69","sell"
"0.1","0.0025","TRADE","1641032958052","2022-01-01","262","197420111","0","81.27","BTC-7JAN22-40000-P","46884.69","buy"
"0.3","0.025","TRADE","1641032937535","2022-01-01","632","197420054","2","69.06","BTC-7JAN22-48000-C","46862.25","sell"
"0.1","0.0245","TRADE","1641032933714","2022-01-01","735","197420006","2","71.01","BTC-28JAN22-55000-C","46863.74","sell"
"2.8","0.096","TRADE","1641032930427","2022-01-01","53","197419819","2","67.89","BTC-28JAN22-45000-C","46892.68","sell"
"2.1","0.018","TRADE","1641032930089","2022-01-01","275","197419794","3","70.99","BTC-14JAN22-52000-C","46892.68","sell"
"2","0.133","TRADE","1641032929631","2022-01-01","119","197419782","3","70.05","BTC-25FEB22-45000-C","46905.47","sell"
"0.6","0.0255","TRADE","1641032929428","2022-01-01","631","197419769","3","69.28","BTC-7JAN22-48000-C","46905.47","sell"
"0.1","0.0255","TRADE","1641032929391","2022-01-01","630","197419768","3","69.28","BTC-7JAN22-48000-C","46905.47","sell"
"3.1","0.0255","TRADE","1641032929362","2022-01-01","629","197419766","3","69.28","BTC-7JAN22-48000-C","46905.47","sell"
"15.2","0.0255","TRADE","1641032929329","2022-01-01","628","197419765","3","69.28","BTC-7JAN22-48000-C","46905.47","sell"
"1.4","0.133","TRADE","1641032929158","2022-01-01","118","197419744","3","70.05","BTC-25FEB22-45000-C","46905.47","sell"
"0.1","5.0E-4","TRADE","1641032928994","2022-01-01","309","197419738","3","70.22","BTC-2JAN22-50000-C","46905.47","sell"
"0.6","0.018","TRADE","1641032928969","2022-01-01","274","197419733","3","70.54","BTC-14JAN22-52000-C","46940.05","sell"
"0.1","0.018","TRADE","1641032928934","2022-01-01","273","197419729","3","70.54","BTC-14JAN22-52000-C","46940.05","sell"
"1.6","0.018","TRADE","1641032928899","2022-01-01","272","197419718","2","70.54","BTC-14JAN22-52000-C","46940.05","sell"
"1.6","0.133","TRADE","1641032928873","2022-01-01","117","197419714","2","69.85","BTC-25FEB22-45000-C","46940.05","sell"
"0.1","5.0E-4","TRADE","1641032927990","2022-01-01","308","197419679","3","69.71","BTC-2JAN22-50000-C","46940.05","sell"
"0.7","0.026","TRADE","1641032926986","2022-01-01","32","197419620","1","64.58","BTC-2JAN22-48000-P","46966.15","buy"
"0.8","0.026","TRADE","1641032926949","2022-01-01","31","197419618","0","64.65","BTC-2JAN22-48000-P","47006.09","buy"
"0.1","0.061","TRADE","1641032926856","2022-01-01","447","197419609","1","68.38","BTC-28JAN22-46000-P","47006.09","buy"
"2.1","0.061","TRADE","1641032926815","2022-01-01","446","197419606","0","68.38","BTC-28JAN22-46000-P","47006.09","buy"
"0.2","0.0025","TRADE","1641032924582","2022-01-01","1546","197419431","3","101.31","BTC-25MAR22-150000-C","47010.38","buy"
"1.1","0.0175","TRADE","1641032848584","2022-01-01","8","197419391","1","59.12","BTC-3JAN22-47000-C","47028.18","sell"
"0.1","0.0185","TRADE","1641032832420","2022-01-01","271","197419379","3","70.43","BTC-14JAN22-52000-C","47035.94","buy"
"0.1","0.0185","TRADE","1641032761618","2022-01-01","270","197419364","2","70.41","BTC-14JAN22-52000-C","47036.66","buy"
"0.6","0.004","TRADE","1641032707512","2022-01-01","301","197419311","3","56.73","BTC-2JAN22-48000-C","47037.53","sell"
"0.1","0.0255","TRADE","1641032656474","2022-01-01","734","197419266","2","71.31","BTC-28JAN22-55000-C","47013.42","buy"
"0.1","0.0105","TRADE","1641032653964","2022-01-01","280","197419265","1","54.4","BTC-2JAN22-47000-P","47014.15","sell"
"0.1","0.0035","TRADE","1641032650073","2022-01-01","375","197419264","1","57.13","BTC-2JAN22-46000-P","47022.64","sell"
"0.1","0.003","TRADE","1641032630385","2022-01-01","614","197419255","2","72.88","BTC-7JAN22-54000-C","47006.83","sell"
"1.5","0.0165","TRADE","1641032618909","2022-01-01","7","197419254","0","58.2","BTC-3JAN22-47000-P","47002.96","sell"
"0.1","0.004","TRADE","1641032617519","2022-01-01","300","197419252","3","58.34","BTC-2JAN22-48000-C","46995.64","buy"
"0.1","5.0E-4","TRADE","1641032540148","2022-01-01","307","197419172","3","68.66","BTC-2JAN22-50000-C","46996.6","sell"
"0.1","0.0035","TRADE","1641032478113","2022-01-01","374","197419128","0","57.13","BTC-2JAN22-46000-P","47021.03","sell"
"0.1","5.0E-4","TRADE","1641032466198","2022-01-01","306","197419123","3","68.05","BTC-2JAN22-50000-C","47044.06","sell"
"0.1","0.012","TRADE","1641032382876","2022-01-01","88","197419114","2","57.45","BTC-2JAN22-47000-C","47052.71","buy"
"2.4","0.0105","TRADE","1641032345293","2022-01-01","429","197419074","1","68.44","BTC-7JAN22-44000-P","47048.32","buy"
"0.1","5.0E-4","TRADE","1641032310088","2022-01-01","305","197419068","3","68.04","BTC-2JAN22-50000-C","47040.29","sell"
"0.1","0.0105","TRADE","1641032227461","2022-01-01","428","197419037","0","68.6","BTC-7JAN22-44000-P","47040.65","buy"
"0.1","0.004","TRADE","1641032122402","2022-01-01","299","197418995","2","55.47","BTC-2JAN22-48000-C","47073.88","sell"
"0.1","0.059","TRADE","1641032120229","2022-01-01","445","197418992","2","66.99","BTC-28JAN22-46000-P","47073.29","sell"
"2","0.0015","TRADE","1641032116680","2022-01-01","28","197418972","2","96.88","BTC-21JAN22-30000-P","47082.35","buy"
"1","0.0075","TRADE","1641032114711","2022-01-01","56","197418971","0","73.56","BTC-21JAN22-38000-P","47086.2","buy"
"5","0.0075","TRADE","1641032114490","2022-01-01","59","197418965","1","58.66","BTC-3JAN22-46000-P","47086.2","buy"
"0.1","0.0395","TRADE","1641032088720","2022-01-01","719","197418916","2","70.49","BTC-25FEB22-40000-P","47147.01","sell"
"0.2","0.003","TRADE","1641032026684","2022-01-01","373","197418858","3","57.19","BTC-2JAN22-46000-P","47143.03","sell"
"0.1","0.0015","TRADE","1641031975194","2022-01-01","411","197418823","1","59.95","BTC-2JAN22-49000-C","47175.35","sell"
"2","0.01","TRADE","1641031966509","2022-01-01","427","197418819","1","68.78","BTC-7JAN22-44000-P","47172.9","sell"
"15.9","0.01","TRADE","1641031966496","2022-01-01","426","197418818","1","68.78","BTC-7JAN22-44000-P","47172.9","sell"
"8.2","0.01","TRADE","1641031966473","2022-01-01","425","197418817","1","68.78","BTC-7JAN22-44000-P","47172.9","buy"
"8.8","0.01","TRADE","1641031966473","2022-01-01","424","197418816","1","68.78","BTC-7JAN22-44000-P","47172.9","buy"
"12","0.01","TRADE","1641031966473","2022-01-01","423","197418815","1","68.78","BTC-7JAN22-44000-P","47172.9","buy"
"3.1","0.01","TRADE","1641031966473","2022-01-01","422","197418814","0","68.78","BTC-7JAN22-44000-P","47172.9","buy"
"10","5.0E-4","TRADE","1641031678074","2022-01-01","82","197418729","3","96.2","BTC-7JAN22-36000-P","47183.6","sell"
"0.1","0.0245","TRADE","1641031620917","2022-01-01","301","197418718","2","84.85","BTC-24JUN22-120000-C","47163.06","buy"
"10","5.0E-4","TRADE","1641031613127","2022-01-01","81","197418704","2","96.19","BTC-7JAN22-36000-P","47150.44","sell"
"2","0.01","TRADE","1641031592978","2022-01-01","61","197418683","0","58.83","BTC-3JAN22-48000-C","47184.02","buy"
"0.1","0.04","TRADE","1641031437503","2022-01-01","718","197418623","2","71.41","BTC-25FEB22-40000-P","47276.26","sell"
"0.1","0.024","TRADE","1641031425625","2022-01-01","314","197418620","2","74.1","BTC-25FEB22-65000-C","47269.41","sell"
"1","0.0395","TRADE","1641031419681","2022-01-01","344","197418612","0","69.06","BTC-28JAN22-52000-C","47285.27","sell"
"0.3","0.0075","TRADE","1641031310646","2022-01-01","743","197418534","0","72.21","BTC-7JAN22-52000-C","47237.68","buy"
"0.1","0.06","TRADE","1641031305855","2022-01-01","2651","197418525","2","73.21","BTC-25MAR22-40000-P","47229.82","sell"
"0.1","0.033","TRADE","1641032976955","2022-01-01","1216","197420144","0","75.51","BTC-25MAR22-35000-P","46899.16","buy"
"1.2","0.0175","TRADE","1641032958263","2022-01-01","8","197420119","0","57.08","BTC-3JAN22-47000-P","46884.69","sell"
"0.1","0.0025","TRADE","1641032958052","2022-01-01","262","197420111","0","81.27","BTC-7JAN22-40000-P","46884.69","buy"
"0.3","0.025","TRADE","1641032937535","2022-01-01","632","197420054","2","69.06","BTC-7JAN22-48000-C","46862.25","sell"
"0.1","0.0245","TRADE","1641032933714","2022-01-01","735","197420006","2","71.01","BTC-28JAN22-55000-C","46863.74","sell"
"2.8","0.096","TRADE","1641032930427","2022-01-01","53","197419819","2","67.89","BTC-28JAN22-45000-C","46892.68","sell"
"2.1","0.018","TRADE","1641032930089","2022-01-01","275","197419794","3","70.99","BTC-14JAN22-52000-C","46892.68","sell"
"2","0.133","TRADE","1641032929631","2022-01-01","119","197419782","3","70.05","BTC-25FEB22-45000-C","46905.47","sell"
"0.6","0.0255","TRADE","1641032929428","2022-01-01","631","197419769","3","69.28","BTC-7JAN22-48000-C","46905.47","sell"
"0.1","0.0255","TRADE","1641032929391","2022-01-01","630","197419768","3","69.28","BTC-7JAN22-48000-C","46905.47","sell"
"3.1","0.0255","TRADE","1641032929362","2022-01-01","629","197419766","3","69.28","BTC-7JAN22-48000-C","46905.47","sell"
"15.2","0.0255","TRADE","1641032929329","2022-01-01","628","197419765","3","69.28","BTC-7JAN22-48000-C","46905.47","sell"
"1.4","0.133","TRADE","1641032929158","2022-01-01","118","197419744","3","70.05","BTC-25FEB22-45000-C","46905.47","sell"
"0.1","5.0E-4","TRADE","1641032928994","2022-01-01","309","197419738","3","70.22","BTC-2JAN22-50000-C","46905.47","sell"
"0.6","0.018","TRADE","1641032928969","2022-01-01","274","197419733","3","70.54","BTC-14JAN22-52000-C","46940.05","sell"
"0.1","0.018","TRADE","1641032928934","2022-01-01","273","197419729","3","70.54","BTC-14JAN22-52000-C","46940.05","sell"
"1.6","0.018","TRADE","1641032928899","2022-01-01","272","197419718","2","70.54","BTC-14JAN22-52000-C","46940.05","sell"
"1.6","0.133","TRADE","1641032928873","2022-01-01","117","197419714","2","69.85","BTC-25FEB22-45000-C","46940.05","sell"
"0.1","5.0E-4","TRADE","1641032927990","2022-01-01","308","197419679","3","69.71","BTC-2JAN22-50000-C","46940.05","sell"
"0.7","0.026","TRADE","1641032926986","2022-01-01","32","197419620","1","64.58","BTC-2JAN22-48000-P","46966.15","buy"
"0.8","0.026","TRADE","1641032926949","2022-01-01","31","197419618","0","64.65","BTC-2JAN22-48000-P","47006.09","buy"
"0.1","0.061","TRADE","1641032926856","2022-01-01","447","197419609","1","68.38","BTC-28JAN22-46000-P","47006.09","buy"
"2.1","0.061","TRADE","1641032926815","2022-01-01","446","197419606","0","68.38","BTC-28JAN22-46000-P","47006.09","buy"
"0.2","0.0025","TRADE","1641032924582","2022-01-01","1546","197419431","3","101.31","BTC-25MAR22-150000-C","47010.38","buy"
"1.1","0.0175","TRADE","1641032848584","2022-01-01","8","197419391","1","59.12","BTC-3JAN22-47000-C","47028.18","sell"
"0.1","0.0185","TRADE","1641032832420","2022-01-01","271","197419379","3","70.43","BTC-14JAN22-52000-C","47035.94","buy"
"0.1","0.0185","TRADE","1641032761618","2022-01-01","270","197419364","2","70.41","BTC-14JAN22-52000-C","47036.66","buy"
"0.6","0.004","TRADE","1641032707512","2022-01-01","301","197419311","3","56.73","BTC-2JAN22-48000-C","47037.53","sell"
"0.1","0.0255","TRADE","1641032656474","2022-01-01","734","197419266","2","71.31","BTC-28JAN22-55000-C","47013.42","buy"
"0.1","0.0105","TRADE","1641032653964","2022-01-01","280","197419265","1","54.4","BTC-2JAN22-47000-P","47014.15","sell"
"0.1","0.0035","TRADE","1641032650073","2022-01-01","375","197419264","1","57.13","BTC-2JAN22-46000-P","47022.64","sell"
"0.1","0.003","TRADE","1641032630385","2022-01-01","614","197419255","2","72.88","BTC-7JAN22-54000-C","47006.83","sell"
"1.5","0.0165","TRADE","1641032618909","2022-01-01","7","197419254","0","58.2","BTC-3JAN22-47000-P","47002.96","sell"
"0.1","0.004","TRADE","1641032617519","2022-01-01","300","197419252","3","58.34","BTC-2JAN22-48000-C","46995.64","buy"
"0.1","5.0E-4","TRADE","1641032540148","2022-01-01","307","197419172","3","68.66","BTC-2JAN22-50000-C","46996.6","sell"
"0.1","0.0035","TRADE","1641032478113","2022-01-01","374","197419128","0","57.13","BTC-2JAN22-46000-P","47021.03","sell"
"0.1","5.0E-4","TRADE","1641032466198","2022-01-01","306","197419123","3","68.05","BTC-2JAN22-50000-C","47044.06","sell"
"0.1","0.012","TRADE","1641032382876","2022-01-01","88","197419114","2","57.45","BTC-2JAN22-47000-C","47052.71","buy"
"2.4","0.0105","TRADE","1641032345293","2022-01-01","429","197419074","1","68.44","BTC-7JAN22-44000-P","47048.32","buy"
"0.1","5.0E-4","TRADE","1641032310088","2022-01-01","305","197419068","3","68.04","BTC-2JAN22-50000-C","47040.29","sell"
"0.1","0.0105","TRADE","1641032227461","2022-01-01","428","197419037","0","68.6","BTC-7JAN22-44000-P","47040.65","buy"
"0.1","0.004","TRADE","1641032122402","2022-01-01","299","197418995","2","55.47","BTC-2JAN22-48000-C","47073.88","sell"
"0.1","0.059","TRADE","1641032120229","2022-01-01","445","197418992","2","66.99","BTC-28JAN22-46000-P","47073.29","sell"
"2","0.0015","TRADE","1641032116680","2022-01-01","28","197418972","2","96.88","BTC-21JAN22-30000-P","47082.35","buy"
"1","0.0075","TRADE","1641032114711","2022-01-01","56","197418971","0","73.56","BTC-21JAN22-38000-P","47086.2","buy"
"0.6","0.0165","TRADE","1641005912220","2022-01-01","234","197400889","3","61.54","BTC-2JAN22-47000-P","46786","sell"
"2.2","0.002","TRADE","1641005884034","2022-01-01","261","197400878","3","74.66","BTC-7JAN22-40000-P","46782.92","sell"
"0.1","0.0515","TRADE","1641005858406","2022-01-01","18","197400852","3","69.22","BTC-14JAN22-47000-C","46810.09","sell"
"1.3","0.087","TRADE","1641005850008","2022-01-01","546","197400845","3","69.55","BTC-28JAN22-48000-P","46818.24","buy"
"2","0.0185","TRADE","1641005837273","2022-01-01","176","197400819","2","68.6","BTC-7JAN22-45000-P","46836.04","sell"
"0.1","0.027","TRADE","1641005716795","2022-01-01","611","197400798","0","71.72","BTC-7JAN22-48000-C","46816.89","buy"
"0.2","0.0095","TRADE","1641005542479","2022-01-01","3449","197400751","3","88.37","BTC-25MAR22-100000-C","46815.53","buy"
"0.6","0.006","TRADE","1641005308599","2022-01-01","231","197400655","2","66.2","BTC-2JAN22-48000-C","46811.18","sell"
"2.7","0.021","TRADE","1641005243013","2022-01-01","2772","197400609","3","81.42","BTC-25MAR22-80000-C","46816.39","buy"
"1","0.013","TRADE","1641005021651","2022-01-01","1237","197400542","1","74.73","BTC-28JAN22-60000-C","46801.19","sell"
"0.1","0.0025","TRADE","1641004998243","2022-01-01","332","197400539","1","76.83","BTC-7JAN22-55000-C","46799.43","sell"
"0.9","0.004","TRADE","1641004995849","2022-01-01","1541","197400538","3","81.63","BTC-28JAN22-70000-C","46799.48","sell"
"2","0.003","TRADE","1641004935264","2022-01-01","306","197400522","2","76.4","BTC-14JAN22-60000-C","46787.1","sell"
"0.1","0.014","TRADE","1641004880206","2022-01-01","155","197400485","2","68.69","BTC-14JAN22-42000-P","46766.72","sell"
"0.5","0.0015","TRADE","1641004873920","2022-01-01","186","197400479","2","69.3","BTC-1JAN22-46000-P","46765.1","buy"
"0.1","0.087","TRADE","1641004757092","2022-01-01","545","197400454","2","68.69","BTC-28JAN22-48000-P","46748.38","sell"
"1.8","0.0035","TRADE","1641004757080","2022-01-01","146","197400453","2","59","BTC-1JAN22-47000-C","46748.38","buy"
"1.2","0.0285","TRADE","1641004743442","2022-01-01","230","197400439","1","71.4","BTC-14JAN22-50000-C","46742.32","sell"
"0.2","0.0305","TRADE","1641004665040","2022-01-01","436","197400436","2","69.24","BTC-28JAN22-42000-P","46746.28","sell"
"2.4","0.0285","TRADE","1641004626620","2022-01-01","229","197400413","1","71.18","BTC-14JAN22-50000-C","46755.82","sell"
"1","0.039","TRADE","1641004610368","2022-01-01","268","197400344","0","71.26","BTC-7JAN22-47000-P","46767.65","buy"
"0.5","0.0515","TRADE","1641004609754","2022-01-01","17","197400326","2","69.31","BTC-14JAN22-47000-C","46778.85","sell"
"0.1","0.008","TRADE","1641004609751","2022-01-01","736","197400325","1","76.45","BTC-7JAN22-52000-C","46778.85","sell"
"2.7","0.008","TRADE","1641004609696","2022-01-01","735","197400318","1","76.45","BTC-7JAN22-52000-C","46778.85","sell"
"2.2","0.008","TRADE","1641004609608","2022-01-01","734","197400316","1","76.45","BTC-7JAN22-52000-C","46778.85","sell"
"0.6","0.0265","TRADE","1641004609196","2022-01-01","126","197400286","3","70.64","BTC-1JAN22-48000-P","46778.85","buy"
"0.2","0.0265","TRADE","1641004609167","2022-01-01","125","197400281","3","70.82","BTC-1JAN22-48000-P","46784.7","buy"
"0.5","0.0265","TRADE","1641004609151","2022-01-01","124","197400279","2","70.82","BTC-1JAN22-48000-P","46784.7","buy"
"1.8","0.011","TRADE","1641004595417","2022-01-01","432","197400210","2","75.34","BTC-7JAN22-51000-C","46787.13","buy"
"0.1","0.02","TRADE","1641004374724","2022-01-01","1476","197400142","2","70.92","BTC-28JAN22-40000-P","46797.57","buy"
"3.8","5.0E-4","TRADE","1641004350814","2022-01-01","256","197400112","2","66.94","BTC-1JAN22-48000-C","46810.57","sell"
"2","0.0065","TRADE","1641004295001","2022-01-01","230","197400092","3","68.4","BTC-2JAN22-48000-C","46813.92","buy"
"2","0.0635","TRADE","1641004015480","2022-01-01","43","197399994","0","70.29","BTC-14JAN22-46000-C","46844.32","buy"
"0.1","0.015","TRADE","1641003918634","2022-01-01","3","197399970","2","87.28","BTC-30DEC22-300000-C","46841.58","buy"
"0.1","0.0215","TRADE","1641003895817","2022-01-01","3","197399964","1","85.73","BTC-30DEC22-250000-C","46848.43","buy"
"0.1","0.0215","TRADE","1641003895817","2022-01-01","2","197399963","1","85.73","BTC-30DEC22-250000-C","46848.43","buy"
"0.1","0.0325","TRADE","1641003808415","2022-01-01","7","197399930","0","83.56","BTC-30DEC22-200000-C","46879.33","buy"
"0.3","0.0185","TRADE","1641003739499","2022-01-01","38","197399886","3","68.69","BTC-14JAN22-43000-P","46884.83","sell"
"4.7","0.0185","TRADE","1641003739499","2022-01-01","37","197399885","2","68.69","BTC-14JAN22-43000-P","46884.83","sell"
"0.7","0.053","TRADE","1641003736190","2022-01-01","16","197399865","1","69.83","BTC-14JAN22-47000-C","46896.73","sell"
"2.4","0.032","TRADE","1641003703097","2022-01-01","11","197399848","3","68.08","BTC-14JAN22-45000-P","46904.65","sell"
"2.6","0.032","TRADE","1641003703097","2022-01-01","10","197399847","2","68.08","BTC-14JAN22-45000-P","46904.65","sell"
"1","0.048","TRADE","1641003700495","2022-01-01","100","197399844","0","71.58","BTC-7JAN22-46000-C","46891.97","buy"
"1.3","0.053","TRADE","1641003664786","2022-01-01","15","197399806","0","69.71","BTC-14JAN22-47000-C","46901.32","sell"
"0.1","0.0115","TRADE","1641003583864","2022-01-01","431","197399757","1","75.28","BTC-7JAN22-51000-C","46909.8","buy"
"1.9","0.0125","TRADE","1641003496774","2022-01-01","282","197399724","1","73.09","BTC-14JAN22-54000-C","46904.33","sell"
"9.1","0.0125","TRADE","1641003496770","2022-01-01","281","197399723","1","73.09","BTC-14JAN22-54000-C","46904.33","buy"
"7.3","0.0125","TRADE","1641003496770","2022-01-01","280","197399722","1","73.09","BTC-14JAN22-54000-C","46904.33","buy"
"1.7","0.0125","TRADE","1641003496770","2022-01-01","279","197399721","0","73.09","BTC-14JAN22-54000-C","46904.33","buy"
"2.1","0.09","TRADE","1641003465256","2022-01-01","347","197399720","1","72.54","BTC-25FEB22-50000-C","46905.43","buy"
"6.8","0.0115","TRADE","1641003464553","2022-01-01","430","197399718","1","75.48","BTC-7JAN22-51000-C","46905.51","buy"
"12","0.0115","TRADE","1641003464553","2022-01-01","429","197399717","1","75.48","BTC-7JAN22-51000-C","46905.51","buy"
"26","0.0115","TRADE","1641003464553","2022-01-01","428","197399716","1","75.48","BTC-7JAN22-51000-C","46905.51","buy"
"1.7","0.0115","TRADE","1641003464553","2022-01-01","427","197399715","1","75.48","BTC-7JAN22-51000-C","46905.51","buy"
"1.2","0.0115","TRADE","1641003464553","2022-01-01","426","197399714","0","75.48","BTC-7JAN22-51000-C","46905.51","buy"
"2.3","0.011","TRADE","1641003464553","2022-01-01","425","197399713","0","74.16","BTC-7JAN22-51000-C","46905.51","buy"
"11.9","0.008","TRADE","1641003448547","2022-01-01","733","197399707","1","75.27","BTC-7JAN22-52000-C","46905.67","buy"
"2","0.008","TRADE","1641003448547","2022-01-01","732","197399706","1","75.27","BTC-7JAN22-52000-C","46905.67","buy"
"2.7","0.008","TRADE","1641003448547","2022-01-01","731","197399705","1","75.27","BTC-7JAN22-52000-C","46905.67","buy"
"7.3","0.008","TRADE","1641003448547","2022-01-01","730","197399704","1","75.27","BTC-7JAN22-52000-C","46905.67","buy"
"0.1","0.008","TRADE","1641003448547","2022-01-01","729","197399703","0","75.27","BTC-7JAN22-52000-C","46905.67","buy"
"2","0.0525","TRADE","1641003430249","2022-01-01","14","197399696","1","69.37","BTC-14JAN22-47000-C","46894.16","sell"
"0.1","0.0015","TRADE","1641003415324","2022-01-01","255","197399695","1","83.3","BTC-1JAN22-48000-C","46894.46","buy"
"0.1","0.0015","TRADE","1641003412824","2022-01-01","254","197399694","0","83.29","BTC-1JAN22-48000-C","46895.2","buy"
"0.7","0.0625","TRADE","1641003357957","2022-01-01","42","197399680","1","68.5","BTC-14JAN22-46000-C","46882.6","buy"
"0.4","0.09","TRADE","1641003346250","2022-01-01","346","197399668","1","72.57","BTC-25FEB22-50000-C","46888.52","buy"
"0.9","0.09","TRADE","1641003346250","2022-01-01","345","197399667","1","72.57","BTC-25FEB22-50000-C","46888.52","buy"
"1.2","0.0625","TRADE","1641003345872","2022-01-01","41","197399658","1","68.47","BTC-14JAN22-46000-C","46888.52","buy"
"1.6","0.09","TRADE","1641003345085","2022-01-01","344","197399657","1","72.58","BTC-25FEB22-50000-C","46886.01","buy"
"0.1","0.0625","TRADE","1641003341335","2022-01-01","40","197399647","1","68.65","BTC-14JAN22-46000-C","46878.23","buy"
"5.5","0.0625","TRADE","1641003341333","2022-01-01","39","197399646","1","68.65","BTC-14JAN22-46000-C","46878.23","buy"
"1.3","0.0625","TRADE","1641003336206","2022-01-01","38","197399641","1","68.81","BTC-14JAN22-46000-C","46868.74","buy"
"1.2","0.0625","TRADE","1641003334586","2022-01-01","37","197399626","0","68.94","BTC-14JAN22-46000-C","46859.33","buy"
"0.2","0.0525","TRADE","1641003279673","2022-01-01","13","197399603","1","70.06","BTC-14JAN22-47000-C","46841.59","buy"
